"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","170.114.52.83","192.168.0.222","TCP","54","443  >  53717 [ACK] Seq=1 Ack=1 Win=10 Len=0"
"2","0.000041","192.168.0.222","170.114.52.83","TCP","54","[TCP ACKed unseen segment] 53717  >  443 [ACK] Seq=1 Ack=2 Win=507 Len=0"
"3","1.887364","192.168.0.222","192.168.0.1","DNS","89","Standard query 0x6767 A clientservices.googleapis.com"
"4","1.887644","192.168.0.222","192.168.0.1","DNS","89","Standard query 0xfe66 HTTPS clientservices.googleapis.com"
"5","1.893733","192.168.0.1","192.168.0.222","DNS","105","Standard query response 0x6767 A clientservices.googleapis.com A 142.250.75.35"
"6","1.894567","192.168.0.1","192.168.0.222","DNS","149","Standard query response 0xfe66 HTTPS clientservices.googleapis.com SOA ns1.google.com"
"7","1.895429","192.168.0.222","142.250.75.35","TCP","66","53860  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"8","1.898587","192.168.0.222","142.250.75.35","TCP","66","53861  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"9","1.902858","142.250.75.35","192.168.0.222","TCP","66","443  >  53860 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256"
"10","1.906385","142.250.75.35","192.168.0.222","TCP","66","443  >  53861 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256"
"11","1.906495","192.168.0.222","142.250.75.35","TCP","54","53861  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=0"
"12","1.906987","192.168.0.222","142.250.75.35","TCP","1466","53861  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=1412 [TCP PDU reassembled in 13]"
"13","1.906987","192.168.0.222","142.250.75.35","TLSv1.3","381","Client Hello (SNI=clientservices.googleapis.com)"
"14","1.911930","142.250.75.35","192.168.0.222","TCP","54","443  >  53861 [ACK] Seq=1 Ack=1413 Win=268288 Len=0"
"15","1.911930","142.250.75.35","192.168.0.222","TCP","54","443  >  53861 [ACK] Seq=1 Ack=1740 Win=268032 Len=0"
"16","1.964781","142.250.75.35","192.168.0.222","TLSv1.3","1466","Server Hello, Change Cipher Spec"
"17","1.964781","142.250.75.35","192.168.0.222","TCP","1466","443  >  53861 [ACK] Seq=1413 Ack=1740 Win=268032 Len=1412 [TCP PDU reassembled in 20]"
"18","1.964781","142.250.75.35","192.168.0.222","TCP","1466","443  >  53861 [PSH, ACK] Seq=2825 Ack=1740 Win=268032 Len=1412 [TCP PDU reassembled in 20]"
"19","1.964781","142.250.75.35","192.168.0.222","TCP","1466","443  >  53861 [ACK] Seq=4237 Ack=1740 Win=268032 Len=1412 [TCP PDU reassembled in 20]"
"20","1.964781","142.250.75.35","192.168.0.222","TLSv1.3","166","Encrypted Extensions, Certificate, Certificate Verify, Finished"
"21","1.964938","192.168.0.222","142.250.75.35","TCP","54","53861  >  443 [ACK] Seq=1740 Ack=2825 Win=131072 Len=0"
"22","1.964994","192.168.0.222","142.250.75.35","TCP","54","53861  >  443 [ACK] Seq=1740 Ack=5649 Win=131072 Len=0"
"23","2.007404","192.168.0.222","142.250.75.35","TCP","54","53861  >  443 [ACK] Seq=1740 Ack=5761 Win=131072 Len=0"
"24","2.079062","192.168.0.222","142.250.75.35","TLSv1.3","128","Change Cipher Spec, Encrypted Extensions, Finished"
"25","2.079306","192.168.0.222","142.250.75.35","HTTP2","146","Magic, SETTINGS[0], WINDOW_UPDATE[0]"
"26","2.079509","192.168.0.222","142.250.75.35","HTTP2","402","HEADERS[1]: GET /chrome-variations/seed?osname=win&channel=stable&milestone=133"
"27","2.083501","142.250.75.35","192.168.0.222","TCP","54","443  >  53861 [ACK] Seq=5761 Ack=1814 Win=268032 Len=0"
"28","2.083501","142.250.75.35","192.168.0.222","TCP","54","443  >  53861 [ACK] Seq=5761 Ack=1906 Win=268032 Len=0"
"29","2.083501","142.250.75.35","192.168.0.222","TCP","54","443  >  53861 [ACK] Seq=5761 Ack=2254 Win=267776 Len=0"
"30","2.083501","142.250.75.35","192.168.0.222","HTTP2","1042","SETTINGS[0], WINDOW_UPDATE[0]"
"31","2.083737","192.168.0.222","142.250.75.35","HTTP2","85","SETTINGS[0]"
"32","2.085256","142.250.75.35","192.168.0.222","HTTP2","85","SETTINGS[0]"
"33","2.095968","142.250.75.35","192.168.0.222","TCP","54","443  >  53861 [ACK] Seq=6780 Ack=2285 Win=267776 Len=0"
"34","2.097945","192.168.0.222","192.168.0.1","DNS","79","Standard query 0x18bb A accounts.google.com"
"35","2.098147","192.168.0.222","192.168.0.1","DNS","79","Standard query 0xf6b1 HTTPS accounts.google.com"
"36","2.098612","192.168.0.222","192.168.0.1","DNS","74","Standard query 0x379a A www.google.com"
"37","2.098721","192.168.0.222","192.168.0.1","DNS","74","Standard query 0xdb4b HTTPS www.google.com"
"38","2.100452","192.168.0.1","192.168.0.222","DNS","95","Standard query response 0x18bb A accounts.google.com A 66.102.1.84"
"39","2.101705","192.168.0.1","192.168.0.222","DNS","90","Standard query response 0x379a A www.google.com A 142.250.75.100"
"40","2.102884","192.168.0.1","192.168.0.222","DNS","129","Standard query response 0xf6b1 HTTPS accounts.google.com SOA ns1.google.com"
"41","2.102884","192.168.0.1","192.168.0.222","DNS","99","Standard query response 0xdb4b HTTPS www.google.com HTTPS"
"42","2.104083","192.168.0.222","142.250.75.100","QUIC","1292","Initial, DCID=41c9611bc2bb211d, PKN: 1, PADDING, CRYPTO, PADDING, CRYPTO, CRYPTO, CRYPTO, CRYPTO, PADDING, CRYPTO, CRYPTO, PING, PADDING, PING, PADDING, CRYPTO, CRYPTO, CRYPTO, PING, CRYPTO, CRYPTO, PING, PING, PING, PADDING, PING"
"43","2.104177","192.168.0.222","142.250.75.100","QUIC","1292","Initial, DCID=41c9611bc2bb211d, PKN: 2, CRYPTO, PADDING, PING, PING, PING, PADDING, CRYPTO, CRYPTO, PADDING, CRYPTO, PADDING, CRYPTO, PADDING, PING"
"44","2.104508","192.168.0.222","66.102.1.84","QUIC","1292","Initial, DCID=de19c6f7c18b0b46, PKN: 1, CRYPTO, PADDING, CRYPTO, PING, PING, CRYPTO, PADDING, PING, PADDING, CRYPTO, PING"
"45","2.104586","192.168.0.222","66.102.1.84","QUIC","1292","Initial, DCID=de19c6f7c18b0b46, PKN: 2, PING, PADDING, PING, PADDING, PING, PING, CRYPTO, CRYPTO, CRYPTO, PADDING, CRYPTO, CRYPTO, PING, PING, PING"
"46","2.108548","142.250.75.100","192.168.0.222","QUIC","82","Initial, SCID=e1c9611bc2bb211d, PKN: 1, ACK"
"47","2.111721","142.250.75.100","192.168.0.222","QUIC","1292","Initial, SCID=e1c9611bc2bb211d, PKN: 2, ACK, PADDING"
"48","2.115423","142.250.75.100","192.168.0.222","QUIC","1292","Initial, SCID=e1c9611bc2bb211d, PKN: 3, CRYPTO, PADDING"
"49","2.115423","142.250.75.100","192.168.0.222","QUIC","1292","Initial, SCID=e1c9611bc2bb211d, PKN: 4, CRYPTO, PADDING"
"50","2.116255","192.168.0.222","142.250.75.100","QUIC","1292","Initial, DCID=e1c9611bc2bb211d, PKN: 3, ACK, PADDING"
"51","2.116335","192.168.0.222","142.250.75.100","QUIC","79","Handshake, DCID=e1c9611bc2bb211d, PKN: 5, PADDING, PING"
"52","2.130999","192.168.0.222","142.250.75.35","TCP","54","53861  >  443 [ACK] Seq=2285 Ack=6780 Win=130048 Len=0"
"53","2.131274","192.168.0.222","142.250.75.100","TCP","66","53862  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"54","2.131421","192.168.0.222","142.250.75.100","QUIC","79","Handshake, DCID=e1c9611bc2bb211d, PKN: 7, PADDING, PING"
"55","2.138220","142.250.75.100","192.168.0.222","TCP","66","443  >  53862 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256"
"56","2.138319","192.168.0.222","142.250.75.100","TCP","54","53862  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=0"
"57","2.138646","192.168.0.222","142.250.75.100","TCP","1466","53862  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=1412 [TCP PDU reassembled in 58]"
"58","2.138646","192.168.0.222","142.250.75.100","TLSv1.3","430","Client Hello (SNI=www.google.com)"
"59","2.141445","142.250.75.100","192.168.0.222","TCP","54","443  >  53862 [ACK] Seq=1 Ack=1413 Win=268288 Len=0"
"60","2.141445","142.250.75.100","192.168.0.222","TCP","54","443  >  53862 [ACK] Seq=1 Ack=1789 Win=268032 Len=0"
"61","2.155457","192.168.0.222","142.250.75.100","QUIC","79","Handshake, DCID=e1c9611bc2bb211d, PKN: 9, PADDING, PING"
"62","2.162725","142.250.75.100","192.168.0.222","QUIC","1292","Handshake, SCID=e1c9611bc2bb211d, PKN: 5, CRYPTO"
"63","2.162725","142.250.75.100","192.168.0.222","QUIC","1292","Handshake, SCID=e1c9611bc2bb211d, PKN: 6, CRYPTO"
"64","2.162725","142.250.75.100","192.168.0.222","QUIC","1292","Handshake, SCID=e1c9611bc2bb211d, PKN: 7, CRYPTO"
"65","2.162725","142.250.75.100","192.168.0.222","HTTP3","904","Protected Payload (KP0), PKN: 9, STREAM(3), SETTINGS"
"66","2.162725","142.250.75.100","192.168.0.222","QUIC","87","Handshake, SCID=e1c9611bc2bb211d, PKN: 10, ACK"
"67","2.162725","66.102.1.84","192.168.0.222","QUIC","82","Initial, SCID=fe19c6f7c18b0b46, PKN: 1, ACK"
"68","2.163162","192.168.0.222","142.250.75.100","QUIC","81","Handshake, DCID=e1c9611bc2bb211d, PKN: 10, ACK"
"69","2.163508","192.168.0.222","142.250.75.100","QUIC","81","Handshake, DCID=e1c9611bc2bb211d, PKN: 11, ACK"
"70","2.165325","66.102.1.84","192.168.0.222","QUIC","1292","Initial, SCID=fe19c6f7c18b0b46, PKN: 2, ACK, PADDING"
