"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","TpLinkTechno_dc:cd:e5","Intel_cd:a8:0c","ARP","42","Who has 192.168.0.222? Tell 192.168.0.1"
"2","0.000025","Intel_cd:a8:0c","TpLinkTechno_dc:cd:e5","ARP","42","192.168.0.222 is at 2c:33:58:cd:a8:0c"
"3","1.156673","192.168.0.222","192.168.0.1","DNS","87","Standard query 0x508c A browser.events.data.msn.com"
"4","1.156955","192.168.0.222","192.168.0.1","DNS","87","Standard query 0x69d1 HTTPS browser.events.data.msn.com"
"5","1.157297","192.168.0.222","192.168.0.1","DNS","69","Standard query 0x4b7a A c.msn.com"
"6","1.157436","192.168.0.222","192.168.0.1","DNS","69","Standard query 0x2851 HTTPS c.msn.com"
"7","1.158229","192.168.0.222","192.168.0.1","DNS","84","Standard query 0x3635 A sb.scorecardresearch.com"
"8","1.158375","192.168.0.222","192.168.0.1","DNS","84","Standard query 0x5bfb HTTPS sb.scorecardresearch.com"
"9","1.159607","192.168.0.222","192.168.0.1","DNS","87","Standard query 0x6ae9 A img-s-msn-com.akamaized.net"
"10","1.159777","192.168.0.222","192.168.0.1","DNS","87","Standard query 0xcc07 HTTPS img-s-msn-com.akamaized.net"
"11","1.166335","192.168.0.222","192.168.0.1","DNS","74","Standard query 0xe770 A assets.msn.com"
"12","1.166690","192.168.0.222","192.168.0.1","DNS","74","Standard query 0x9bfb HTTPS assets.msn.com"
"13","1.171852","192.168.0.1","192.168.0.222","DNS","220","Standard query response 0x508c A browser.events.data.msn.com CNAME global.asimov.events.data.trafficmanager.net CNAME onedscolprdcus15.centralus.cloudapp.azure.com A 13.89.179.11"
"14","1.171852","192.168.0.1","192.168.0.222","DNS","283","Standard query response 0x69d1 HTTPS browser.events.data.msn.com CNAME global.asimov.events.data.trafficmanager.net CNAME onedscolprdneu02.northeurope.cloudapp.azure.com SOA ns1-201.azure-dns.com"
"15","1.171852","192.168.0.1","192.168.0.222","DNS","127","Standard query response 0x4b7a A c.msn.com CNAME c-msn-pme.trafficmanager.net A 13.74.129.1"
"16","1.171852","192.168.0.1","192.168.0.222","DNS","172","Standard query response 0x2851 HTTPS c.msn.com CNAME c-msn-pme.trafficmanager.net SOA tm1.dns-tm.com"
"17","1.171852","192.168.0.1","192.168.0.222","DNS","168","Standard query response 0x5bfb HTTPS sb.scorecardresearch.com SOA ns-905.awsdns-49.net"
"18","1.171852","192.168.0.1","192.168.0.222","DNS","148","Standard query response 0x3635 A sb.scorecardresearch.com A 65.9.112.116 A 65.9.112.57 A 65.9.112.96 A 65.9.112.114"
"19","1.171852","192.168.0.1","192.168.0.222","DNS","155","Standard query response 0x6ae9 A img-s-msn-com.akamaized.net CNAME a1834.dscg2.akamai.net A 82.102.180.170 A 82.102.180.144"
"20","1.171852","192.168.0.1","192.168.0.222","DNS","198","Standard query response 0xcc07 HTTPS img-s-msn-com.akamaized.net CNAME a1834.dscg2.akamai.net SOA n0dscg2.akamai.net"
"21","1.171852","192.168.0.1","192.168.0.222","DNS","244","Standard query response 0xe770 A assets.msn.com CNAME assets-msn-com-world-default.trafficmanager.net CNAME assets.msn.com.edgekey.net CNAME e28578.d.akamaiedge.net A 82.102.180.203 A 82.102.180.194"
