"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"2","0.000000","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"3","0.000000","146.75.122.251","192.168.0.222","UDP","986","443  >  56885 Len=944"
"4","0.010880","192.168.0.222","146.75.122.251","UDP","407","56885  >  443 Len=365"
"5","0.023733","146.75.122.251","192.168.0.222","UDP","67","443  >  56885 Len=25"
"6","0.077146","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"7","0.077146","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"8","0.077146","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"9","0.077146","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"10","0.077146","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"11","0.077146","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"12","0.077146","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"13","0.077146","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"14","0.077146","146.75.122.251","192.168.0.222","UDP","1246","443  >  56885 Len=1204"
"15","0.099404","192.168.0.222","146.75.122.251","UDP","84","56885  >  443 Len=42"
"16","0.099956","192.168.0.222","146.75.122.251","UDP","402","56885  >  443 Len=360"
"17","0.102766","146.75.122.251","192.168.0.222","UDP","67","443  >  56885 Len=25"
"18","0.165534","146.75.122.251","192.168.0.222","UDP","417","443  >  56885 Len=375"
"19","0.165534","146.75.122.251","192.168.0.222","UDP","782","443  >  56885 Len=740"
"20","0.180677","192.168.0.222","146.75.122.251","UDP","409","56885  >  443 Len=367"
"21","0.190393","146.75.122.251","192.168.0.222","UDP","67","443  >  56885 Len=25"
"22","0.246469","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"23","0.246469","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"24","0.246469","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"25","0.246469","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"26","0.246469","146.75.122.251","192.168.0.222","UDP","239","443  >  56885 Len=197"
"27","0.266433","192.168.0.222","146.75.122.251","UDP","84","56885  >  443 Len=42"
"28","0.267505","192.168.0.222","146.75.122.251","UDP","398","56885  >  443 Len=356"
"29","0.272335","146.75.122.251","192.168.0.222","UDP","67","443  >  56885 Len=25"
"30","0.343547","146.75.122.251","192.168.0.222","UDP","422","443  >  56885 Len=380"
"31","0.343547","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"32","0.343547","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"33","0.343547","146.75.122.251","192.168.0.222","UDP","505","443  >  56885 Len=463"
"34","0.354308","192.168.0.222","146.75.122.251","UDP","405","56885  >  443 Len=363"
"35","0.355869","146.75.122.251","192.168.0.222","UDP","67","443  >  56885 Len=25"
"36","0.422590","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"37","0.422590","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"38","0.422590","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"39","0.422590","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"40","0.422590","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"41","0.422590","146.75.122.251","192.168.0.222","UDP","1168","443  >  56885 Len=1126"
"42","0.439524","192.168.0.222","146.75.122.251","UDP","399","56885  >  443 Len=357"
"43","0.443584","146.75.122.251","192.168.0.222","UDP","67","443  >  56885 Len=25"
"44","0.507528","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"45","0.507528","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"46","0.507528","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"47","0.507528","146.75.122.251","192.168.0.222","UDP","120","443  >  56885 Len=78"
"48","0.520215","192.168.0.222","146.75.122.251","UDP","398","56885  >  443 Len=356"
"49","0.528406","146.75.122.251","192.168.0.222","UDP","67","443  >  56885 Len=25"
"50","0.586315","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"51","0.586315","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"52","0.587179","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"53","0.587179","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"54","0.587179","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"55","0.587179","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"56","0.587179","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"57","0.587179","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"58","0.587179","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"59","0.587179","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"60","0.587179","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"61","0.587179","146.75.122.251","192.168.0.222","UDP","697","443  >  56885 Len=655"
"62","0.588362","192.168.0.222","146.75.122.251","UDP","83","56885  >  443 Len=41"
"63","0.609776","192.168.0.222","146.75.122.251","UDP","84","56885  >  443 Len=42"
"64","0.610451","146.75.122.251","192.168.0.222","UDP","67","443  >  56885 Len=25"
"65","0.611322","192.168.0.222","146.75.122.251","UDP","400","56885  >  443 Len=358"
"66","0.678822","146.75.122.251","192.168.0.222","UDP","434","443  >  56885 Len=392"
"67","0.678822","146.75.122.251","192.168.0.222","UDP","352","443  >  56885 Len=310"
"68","0.696213","192.168.0.222","146.75.122.251","UDP","402","56885  >  443 Len=360"
"69","0.701586","146.75.122.251","192.168.0.222","UDP","67","443  >  56885 Len=25"
"70","0.761619","146.75.122.251","192.168.0.222","UDP","1114","443  >  56885 Len=1072"
"71","0.772276","192.168.0.222","146.75.122.251","UDP","402","56885  >  443 Len=360"
"72","0.785406","146.75.122.251","192.168.0.222","UDP","67","443  >  56885 Len=25"
"73","0.849337","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"74","0.849337","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"75","0.849337","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"76","0.849337","146.75.122.251","192.168.0.222","UDP","419","443  >  56885 Len=377"
"77","0.862049","146.75.122.251","192.168.0.222","UDP","67","443  >  56885 Len=25"
"78","0.866631","192.168.0.222","146.75.122.251","UDP","404","56885  >  443 Len=362"
"79","0.931663","146.75.122.251","192.168.0.222","UDP","429","443  >  56885 Len=387"
"80","0.931663","146.75.122.251","192.168.0.222","UDP","383","443  >  56885 Len=341"
"81","0.944969","192.168.0.222","146.75.122.251","UDP","408","56885  >  443 Len=366"
"82","0.957248","146.75.122.251","192.168.0.222","UDP","67","443  >  56885 Len=25"
"83","0.974924","204.79.197.203","192.168.0.222","TCP","54","443  >  52546 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"84","1.012030","146.75.122.251","192.168.0.222","UDP","421","443  >  56885 Len=379"
"85","1.012030","146.75.122.251","192.168.0.222","UDP","569","443  >  56885 Len=527"
"86","1.024977","192.168.0.222","146.75.122.251","UDP","407","56885  >  443 Len=365"
"87","1.035205","146.75.122.251","192.168.0.222","UDP","67","443  >  56885 Len=25"
"88","1.090913","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"89","1.090913","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"90","1.090913","146.75.122.251","192.168.0.222","UDP","1227","443  >  56885 Len=1185"
"91","1.108124","192.168.0.222","146.75.122.251","UDP","403","56885  >  443 Len=361"
"92","1.113676","146.75.122.251","192.168.0.222","UDP","67","443  >  56885 Len=25"
"93","1.154636","192.168.0.1","192.168.0.222","TCP","66","53  >  52628 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM WS=64"
"94","1.176073","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"95","1.176073","146.75.122.251","192.168.0.222","UDP","738","443  >  56885 Len=696"
"96","1.189729","192.168.0.222","146.75.122.251","UDP","403","56885  >  443 Len=361"
"97","1.203679","146.75.122.251","192.168.0.222","UDP","67","443  >  56885 Len=25"
"98","1.209922","192.168.0.222","13.107.21.239","TCP","55","52551  >  443 [ACK] Seq=1 Ack=1 Win=515 Len=1"
"99","1.213217","13.107.21.239","192.168.0.222","TCP","66","443  >  52551 [ACK] Seq=1 Ack=2 Win=16385 Len=0 SLE=1 SRE=2"
"100","1.255700","146.75.122.251","192.168.0.222","UDP","435","443  >  56885 Len=393"
"101","1.256403","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"102","1.256403","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"103","1.256403","146.75.122.251","192.168.0.222","UDP","540","443  >  56885 Len=498"
"104","1.274423","192.168.0.222","146.75.122.251","UDP","409","56885  >  443 Len=367"
"105","1.280447","146.75.122.251","192.168.0.222","UDP","67","443  >  56885 Len=25"
"106","1.340689","146.75.122.251","192.168.0.222","UDP","422","443  >  56885 Len=380"
"107","1.340689","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"108","1.340689","146.75.122.251","192.168.0.222","UDP","599","443  >  56885 Len=557"
"109","1.353915","192.168.0.222","146.75.122.251","UDP","409","56885  >  443 Len=367"
"110","1.365462","146.75.122.251","192.168.0.222","UDP","67","443  >  56885 Len=25"
"111","1.419512","146.75.122.251","192.168.0.222","UDP","435","443  >  56885 Len=393"
"112","1.419512","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"113","1.419512","146.75.122.251","192.168.0.222","UDP","216","443  >  56885 Len=174"
"114","1.436152","192.168.0.222","146.75.122.251","UDP","399","56885  >  443 Len=357"
"115","1.443348","146.75.122.251","192.168.0.222","UDP","67","443  >  56885 Len=25"
"116","1.502043","146.75.122.251","192.168.0.222","UDP","422","443  >  56885 Len=380"
"117","1.502043","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"118","1.502043","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"119","1.502043","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"120","1.502043","146.75.122.251","192.168.0.222","UDP","252","443  >  56885 Len=210"
"121","1.515372","192.168.0.222","146.75.122.251","UDP","398","56885  >  443 Len=356"
"122","1.527421","146.75.122.251","192.168.0.222","UDP","67","443  >  56885 Len=25"
"123","1.581767","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"124","1.581767","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"125","1.581767","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"126","1.581767","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"127","1.581767","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"128","1.581767","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"129","1.581767","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"130","1.581767","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"131","1.581767","146.75.122.251","192.168.0.222","UDP","924","443  >  56885 Len=882"
"132","1.606475","146.75.122.251","192.168.0.222","UDP","67","443  >  56885 Len=25"
"133","1.607104","192.168.0.222","146.75.122.251","UDP","83","56885  >  443 Len=41"
"134","1.633099","192.168.0.222","146.75.122.251","UDP","399","56885  >  443 Len=357"
"135","1.699778","146.75.122.251","192.168.0.222","UDP","421","443  >  56885 Len=379"
"136","1.699778","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"137","1.699778","146.75.122.251","192.168.0.222","UDP","118","443  >  56885 Len=76"
"138","1.717517","192.168.0.222","146.75.122.251","UDP","406","56885  >  443 Len=364"
"139","1.722927","146.75.122.251","192.168.0.222","UDP","67","443  >  56885 Len=25"
"140","1.783364","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"141","1.783364","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"142","1.783364","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"143","1.783364","146.75.122.251","192.168.0.222","UDP","1130","443  >  56885 Len=1088"
"144","1.801811","192.168.0.222","146.75.122.251","UDP","400","56885  >  443 Len=358"
"145","1.807016","146.75.122.251","192.168.0.222","UDP","67","443  >  56885 Len=25"
"146","1.867939","146.75.122.251","192.168.0.222","UDP","420","443  >  56885 Len=378"
"147","1.867939","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"148","1.867939","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"149","1.867939","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"150","1.867939","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"151","1.869227","146.75.122.251","192.168.0.222","UDP","370","443  >  56885 Len=328"
"152","1.878559","192.168.0.222","146.75.122.251","UDP","399","56885  >  443 Len=357"
"153","1.891960","146.75.122.251","192.168.0.222","UDP","67","443  >  56885 Len=25"
"154","1.944559","146.75.122.251","192.168.0.222","UDP","437","443  >  56885 Len=395"
"155","1.944559","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"156","1.944559","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"157","1.944559","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"158","1.944559","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"159","1.944559","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"160","1.944559","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"161","1.944559","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"162","1.944559","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"163","1.944559","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"164","1.944559","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"165","1.944559","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"166","1.944559","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"167","1.944559","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"168","1.944559","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"169","1.944559","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"170","1.944559","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"171","1.944559","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"172","1.944559","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"173","1.944559","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"174","1.944559","146.75.122.251","192.168.0.222","UDP","809","443  >  56885 Len=767"
"175","1.945815","192.168.0.222","146.75.122.251","UDP","83","56885  >  443 Len=41"
"176","1.945909","192.168.0.222","146.75.122.251","UDP","83","56885  >  443 Len=41"
"177","1.967300","192.168.0.222","146.75.122.251","UDP","84","56885  >  443 Len=42"
"178","1.967641","146.75.122.251","192.168.0.222","UDP","67","443  >  56885 Len=25"
"179","1.983655","192.168.0.222","146.75.122.251","UDP","392","56885  >  443 Len=350"
"180","2.051127","146.75.122.251","192.168.0.222","UDP","423","443  >  56885 Len=381"
"181","2.051127","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"182","2.051127","146.75.122.251","192.168.0.222","UDP","827","443  >  56885 Len=785"
"183","2.063913","192.168.0.222","146.75.122.251","UDP","398","56885  >  443 Len=356"
"184","2.073973","146.75.122.251","192.168.0.222","UDP","67","443  >  56885 Len=25"
"185","2.131107","146.75.122.251","192.168.0.222","UDP","438","443  >  56885 Len=396"
"186","2.131107","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"187","2.131107","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"188","2.131107","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"189","2.131107","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"190","2.131107","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"191","2.131107","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"192","2.131107","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"193","2.131107","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"194","2.131107","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"195","2.131107","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"196","2.131107","146.75.122.251","192.168.0.222","UDP","629","443  >  56885 Len=587"
"197","2.131972","192.168.0.222","146.75.122.251","UDP","83","56885  >  443 Len=41"
"198","2.154897","146.75.122.251","192.168.0.222","UDP","67","443  >  56885 Len=25"
"199","2.155306","192.168.0.222","146.75.122.251","UDP","83","56885  >  443 Len=41"
"200","2.157981","192.168.0.222","146.75.122.251","UDP","394","56885  >  443 Len=352"
"201","2.223203","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"202","2.223203","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"203","2.223203","146.75.122.251","192.168.0.222","UDP","570","443  >  56885 Len=528"
"204","2.239183","192.168.0.222","146.75.122.251","UDP","401","56885  >  443 Len=359"
"205","2.248044","146.75.122.251","192.168.0.222","UDP","67","443  >  56885 Len=25"
"206","2.308093","146.75.122.251","192.168.0.222","UDP","434","443  >  56885 Len=392"
"207","2.308093","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"208","2.308093","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"209","2.308093","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"210","2.308093","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"211","2.308093","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"212","2.308093","146.75.122.251","192.168.0.222","UDP","951","443  >  56885 Len=909"
"213","2.327442","192.168.0.222","146.75.122.251","UDP","84","56885  >  443 Len=42"
"214","2.328027","146.75.122.251","192.168.0.222","UDP","67","443  >  56885 Len=25"
"215","2.328514","192.168.0.222","146.75.122.251","UDP","397","56885  >  443 Len=355"
"216","2.395154","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"217","2.395154","146.75.122.251","192.168.0.222","UDP","122","443  >  56885 Len=80"
"218","2.407774","192.168.0.222","146.75.122.251","UDP","404","56885  >  443 Len=362"
"219","2.417539","146.75.122.251","192.168.0.222","UDP","67","443  >  56885 Len=25"
"220","2.474183","146.75.122.251","192.168.0.222","UDP","434","443  >  56885 Len=392"
"221","2.474183","146.75.122.251","192.168.0.222","UDP","1114","443  >  56885 Len=1072"
"222","2.494350","192.168.0.222","146.75.122.251","UDP","84","56885  >  443 Len=42"
"223","2.495546","192.168.0.222","146.75.122.251","UDP","398","56885  >  443 Len=356"
"224","2.497168","146.75.122.251","192.168.0.222","UDP","67","443  >  56885 Len=25"
"225","2.561179","146.75.122.251","192.168.0.222","UDP","422","443  >  56885 Len=380"
"226","2.561179","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"227","2.561179","146.75.122.251","192.168.0.222","UDP","1147","443  >  56885 Len=1105"
"228","2.580938","192.168.0.222","146.75.122.251","UDP","84","56885  >  443 Len=42"
"229","2.581849","192.168.0.222","146.75.122.251","UDP","397","56885  >  443 Len=355"
"230","2.584612","146.75.122.251","192.168.0.222","UDP","67","443  >  56885 Len=25"
"231","2.622873","192.168.0.222","35.186.224.24","QUIC","1292","Initial, DCID=145f0aa63f0d5ef3, PKN: 1, PING, PADDING, CRYPTO, PADDING, CRYPTO, PADDING, CRYPTO, PING, CRYPTO, PING, CRYPTO, PADDING, CRYPTO, PADDING, CRYPTO, CRYPTO, PADDING, PING, CRYPTO, CRYPTO, CRYPTO, PING"
"232","2.623101","192.168.0.222","35.186.224.24","QUIC","1292","Initial, DCID=145f0aa63f0d5ef3, PKN: 2, CRYPTO, PADDING, CRYPTO, CRYPTO, CRYPTO, PING, CRYPTO, PING, PING, PADDING, CRYPTO, CRYPTO, PING, PING, PADDING, CRYPTO, PADDING"
"233","2.623424","192.168.0.222","35.186.224.24","TLSv1.2","491","Application Data"
"234","2.623466","192.168.0.222","35.186.224.24","TLSv1.2","93","Application Data"
"235","2.628884","35.186.224.24","192.168.0.222","QUIC","82","Initial, SCID=f45f0aa63f0d5ef3, PKN: 1, ACK"
"236","2.628884","35.186.224.24","192.168.0.222","QUIC","1292","Initial, SCID=f45f0aa63f0d5ef3, PKN: 2, ACK, PADDING"
"237","2.629967","35.186.224.24","192.168.0.222","TCP","54","443  >  52618 [ACK] Seq=1 Ack=438 Win=1031 Len=0"
"238","2.629967","35.186.224.24","192.168.0.222","TCP","54","443  >  52618 [ACK] Seq=1 Ack=477 Win=1031 Len=0"
"239","2.629967","35.186.224.24","192.168.0.222","TLSv1.2","93","Application Data"
"240","2.631465","35.186.224.24","192.168.0.222","QUIC","1292","Initial, SCID=f45f0aa63f0d5ef3, PKN: 3, CRYPTO, PADDING"
"241","2.632538","35.186.224.24","192.168.0.222","QUIC","1292","Handshake, SCID=f45f0aa63f0d5ef3, PKN: 4, CRYPTO"
"242","2.632538","35.186.224.24","192.168.0.222","QUIC","1292","Handshake, SCID=f45f0aa63f0d5ef3, PKN: 5, CRYPTO"
"243","2.633164","192.168.0.222","35.186.224.24","QUIC","1292","Initial, DCID=f45f0aa63f0d5ef3, PKN: 3, ACK, PADDING"
"244","2.633492","192.168.0.222","35.186.224.24","QUIC","81","Handshake, DCID=f45f0aa63f0d5ef3, PKN: 4, ACK"
"245","2.636218","35.186.224.24","192.168.0.222","HTTP3","422","Protected Payload (KP0), PKN: 7, STREAM(3), SETTINGS"
"246","2.636776","192.168.0.222","35.186.224.24","QUIC","82","Handshake, DCID=f45f0aa63f0d5ef3, PKN: 6, ACK, PING"
"247","2.637924","192.168.0.222","35.186.224.24","QUIC","125","Handshake, DCID=f45f0aa63f0d5ef3, PKN: 7, CRYPTO"
"248","2.638062","192.168.0.222","35.186.224.24","HTTP3","115","Protected Payload (KP0), DCID=f45f0aa63f0d5ef3, PKN: 8, STREAM(2), SETTINGS"
"249","2.640717","35.186.224.24","192.168.0.222","QUIC","83","Handshake, SCID=f45f0aa63f0d5ef3, PKN: 8, ACK"
"250","2.640717","35.186.224.24","192.168.0.222","QUIC","626","Protected Payload (KP0), PKN: 9, CRYPTO"
"251","2.640717","35.186.224.24","192.168.0.222","QUIC","163","Protected Payload (KP0), PKN: 10, DONE, NT, NCI"
"252","2.640984","192.168.0.222","35.186.224.24","QUIC","75","Protected Payload (KP0), DCID=f45f0aa63f0d5ef3, PKN: 9, ACK"
"253","2.641008","192.168.0.222","35.186.224.24","QUIC","75","Protected Payload (KP0), DCID=f45f0aa63f0d5ef3, PKN: 10, ACK"
"254","2.646948","146.75.122.251","192.168.0.222","UDP","434","443  >  56885 Len=392"
"255","2.646948","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"256","2.646948","146.75.122.251","192.168.0.222","UDP","542","443  >  56885 Len=500"
"257","2.668612","35.186.224.24","192.168.0.222","QUIC","66","Protected Payload (KP0), PKN: 11, ACK"
"258","2.669038","192.168.0.222","146.75.122.251","UDP","84","56885  >  443 Len=42"
"259","2.671476","146.75.122.251","192.168.0.222","UDP","67","443  >  56885 Len=25"
"260","2.676010","192.168.0.222","146.75.122.251","UDP","407","56885  >  443 Len=365"
"261","2.677266","192.168.0.222","35.186.224.24","TCP","54","52618  >  443 [ACK] Seq=477 Ack=40 Win=509 Len=0"
"262","2.731927","35.186.224.24","192.168.0.222","TLSv1.2","143","Application Data"
"263","2.731927","35.186.224.24","192.168.0.222","TLSv1.2","1466","Application Data"
"264","2.731927","35.186.224.24","192.168.0.222","TLSv1.2","597","Application Data"
"265","2.731927","35.186.224.24","192.168.0.222","TLSv1.2","93","Application Data"
"266","2.732044","192.168.0.222","35.186.224.24","TCP","54","52618  >  443 [ACK] Seq=477 Ack=1541 Win=512 Len=0"
"267","2.732082","192.168.0.222","35.186.224.24","TCP","54","52618  >  443 [ACK] Seq=477 Ack=2123 Win=510 Len=0"
"268","2.732356","192.168.0.222","35.186.224.24","TLSv1.2","89","Application Data"
"269","2.732370","192.168.0.222","35.186.224.24","TLSv1.2","93","Application Data"
"270","2.736030","35.186.224.24","192.168.0.222","TCP","54","443  >  52618 [ACK] Seq=2123 Ack=551 Win=1031 Len=0"
"271","2.741451","146.75.122.251","192.168.0.222","UDP","854","443  >  56885 Len=812"
"272","2.750196","192.168.0.222","146.75.122.251","UDP","414","56885  >  443 Len=372"
"273","2.773166","146.75.122.251","192.168.0.222","UDP","67","443  >  56885 Len=25"
"274","2.819837","146.75.122.251","192.168.0.222","UDP","1322","443  >  56885 Len=1280"
"275","2.819837","146.75.122.251","192.168.0.222","UDP","1257","443  >  56885 Len=1215"
"276","2.832540","192.168.0.222","146.75.122.251","UDP","407","56885  >  443 Len=365"
"277","2.840454","146.75.122.251","192.168.0.222","UDP","67","443  >  56885 Len=25"
