"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","2a0d:6fc2:4380:b300:24dd:68dc:2e7d:602b","2a0d:6fc2:4380:b300::1","DNS","119","Standard query 0x4d27 A prd-mcafee-mosaic-pub.azurewebsites.net"
"2","0.000807","2a0d:6fc2:4380:b300:24dd:68dc:2e7d:602b","2a0d:6fc2:4380:b300::1","DNS","119","Standard query 0xdde9 AAAA prd-mcafee-mosaic-pub.azurewebsites.net"
"3","0.008608","2a0d:6fc2:4380:b300::1","2a0d:6fc2:4380:b300:24dd:68dc:2e7d:602b","DNS","253","Standard query response 0x4d27 A prd-mcafee-mosaic-pub.azurewebsites.net CNAME waws-prod-bay-085.sip.azurewebsites.windows.net CNAME waws-prod-bay-085.westus.cloudapp.azure.com A 104.40.53.219"
"4","0.011484","2a0d:6fc2:4380:b300::1","2a0d:6fc2:4380:b300:24dd:68dc:2e7d:602b","DNS","313","Standard query response 0xdde9 AAAA prd-mcafee-mosaic-pub.azurewebsites.net CNAME waws-prod-bay-085.sip.azurewebsites.windows.net CNAME waws-prod-bay-085.westus.cloudapp.azure.com SOA ns1-02.azure-dns.com"
"5","0.015043","192.168.1.126","104.40.53.219","TCP","66","49822  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"6","0.016840","192.168.1.126","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"7","0.017079","fe80::89e8:542a:ae54:21b1","ff02::fb","MDNS","102","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"8","0.071793","fe80::89e8:542a:ae54:21b1","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"9","0.071911","192.168.1.126","224.0.0.22","IGMPv3","54","Membership Report / Leave group 224.0.0.252"
"10","0.072230","fe80::89e8:542a:ae54:21b1","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"11","0.072523","192.168.1.126","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.252 for any sources"
"12","0.073439","fe80::89e8:542a:ae54:21b1","ff02::1:3","LLMNR","95","Standard query 0xb48b ANY LAPTOP-O5TUAK8N"
